iter	Passed	Remaining
753	1421	463
754	1423	462
755	1426	460
756	1427	458
757	1429	456
758	1431	454
759	1433	452
760	1435	450
761	1437	448
762	1439	447
763	1440	445
764	1442	443
765	1444	441
766	1446	439
767	1449	437
768	1451	436
769	1453	434
770	1455	432
771	1457	430
772	1459	428
773	1461	426
774	1463	424
775	1464	422
776	1467	421
777	1468	419
778	1471	417
779	1472	415
780	1474	413
781	1476	411
782	1479	409
783	1481	408
784	1483	406
785	1485	404
786	1487	402
787	1489	400
788	1491	398
789	1493	396
790	1495	395
791	1497	393
792	1499	391
793	1501	389
794	1503	387
795	1505	385
796	1507	383
797	1509	382
798	1510	380
799	1513	378
800	1514	376
801	1516	374
802	1518	372
803	1520	370
804	1521	368
805	1523	366
806	1525	364
807	1527	363
808	1530	361
809	1532	359
810	1534	357
811	1536	355
812	1538	353
813	1540	351
814	1541	349
815	1543	347
816	1544	346
817	1546	344
818	1549	342
819	1550	340
820	1553	338
821	1554	336
822	1556	334
823	1558	332
824	1560	330
825	1562	329
826	1564	327
827	1566	325
828	1568	323
829	1570	321
830	1572	319
831	1574	317
832	1576	316
833	1578	314
834	1580	312
835	1582	310
836	1584	308
837	1586	306
838	1588	304
839	1590	302
840	1591	300
841	1594	299
842	1596	297
843	1597	295
844	1600	293
845	1602	291
846	1603	289
847	1605	287
848	1607	285
849	1610	284
850	1612	282
851	1614	280
852	1616	278
853	1618	276
854	1620	274
855	1622	272
856	1624	270
857	1626	269
858	1627	267
859	1629	265
860	1631	263
861	1633	261
862	1634	259
863	1636	257
864	1638	255
865	1640	253
866	1642	251
867	1644	250
868	1646	248
869	1648	246
870	1650	244
871	1652	242
872	1654	240
873	1656	238
874	1658	236
875	1660	235
876	1662	233
877	1664	231
878	1666	229
879	1669	227
880	1671	225
881	1672	223
882	1674	221
883	1676	219
884	1678	218
885	1682	216
886	1684	214
887	1686	212
888	1687	210
889	1690	208
890	1693	207
891	1695	205
892	1697	203
893	1698	201
894	1701	199
895	1703	197
896	1705	195
897	1706	193
898	1709	192
899	1711	190
900	1713	188
901	1715	186
902	1717	184
903	1719	182
904	1720	180
905	1722	178
906	1723	176
907	1725	174
908	1728	172
909	1730	171
910	1731	169
911	1733	167
912	1735	165
913	1736	163
914	1738	161
915	1740	159
916	1743	157
917	1745	155
918	1747	154
919	1749	152
920	1751	150
921	1753	148
922	1755	146
923	1757	144
924	1759	142
925	1761	140
926	1763	138
927	1765	136
928	1767	135
929	1769	133
930	1771	131
931	1773	129
932	1774	127
933	1776	125
934	1779	123
935	1781	121
936	1783	119
937	1784	117
938	1787	116
939	1789	114
940	1791	112
941	1794	110
942	1795	108
943	1797	106
944	1800	104
945	1801	102
946	1803	100
947	1805	99
948	1807	97
949	1809	95
950	1811	93
951	1814	91
952	1816	89
953	1818	87
954	1819	85
955	1821	83
956	1823	81
957	1825	80
958	1827	78
959	1829	76
960	1831	74
961	1833	72
962	1835	70
963	1837	68
964	1839	66
965	1842	64
966	1843	62
967	1845	61
968	1847	59
969	1849	57
970	1851	55
971	1853	53
972	1856	51
973	1858	49
974	1860	47
975	1862	45
976	1864	43
977	1865	41
978	1867	40
979	1869	38
980	1871	36
981	1874	34
982	1876	32
983	1878	30
984	1880	28
985	1882	26
986	1886	24
987	1888	22
988	1890	21
989	1892	19
990	1894	17
991	1895	15
992	1897	13
993	1899	11
994	1901	9
995	1904	7
996	1906	5
997	1907	3
998	1910	1
999	1912	0
